"fixed.acidity","volatile.acidity","citric.acid","residual.sugar","chlorides","free.sulfur.dioxide","total.sulfur.dioxide","density","pH","sulphates","alcohol","quality","is_red","free_to_total_sulfur_ratio","sulphates_to_chlorides_ratio","acidity_balance","alcohol_density_interaction","outlier_flag_count"
9.9,0.74,0.19,5.8,0.111,33,76,0.99878,3.14,0.55,9.4,"5",1,0.434210520602493,4.95491031612328,9.16,9.388532,4
8.9,0.635,0.37,1.7,0.263,5,62,0.9971,3,1.09,9.3,"5",1,0.0806451599895942,4.1444709335706,8.265,9.27303,3
12.4,0.35,0.49,2.6,0.079,27,69,0.9994,3.12,0.75,10.4,"6",1,0.39130434215501,9.49355071454792,12.05,10.39376,3
10.4,0.43,0.5,2.3,0.068,13,19,0.996,3.1,0.87,11.4,"6",1,0.684210490304711,12.7939295010367,9.97,11.3544,5
10.3,0.53,0.48,2.5,0.063,6,25,0.9998,3.12,0.59,9.3,"6",1,0.2399999904,9.36493071538547,9.77,9.29814,3
6.6,0.88,0.04,2.2,0.066,12,20,0.99636,3.53,0.56,9.9,"5",1,0.599999970000001,8.48471992848593,5.72,9.863964,3
6.6,0.5,0.01,1.5,0.06,17,26,0.9952,3.4,0.58,9.8,"6",1,0.653846128698226,9.6665055582407,6.1,9.75296,3
11.3,0.34,0.45,2,0.082,6,15,0.9988,2.94,0.66,9.2,"6",1,0.399999973333335,8.04868233314228,10.96,9.18896,3
8.1,0.87,0,2.2,0.084,10,31,0.99656,3.25,0.5,9.8,"5",1,0.322580634755463,5.95231009154653,7.23,9.766288,3
10.8,0.32,0.44,1.6,0.063,16,37,0.9985,3.22,0.78,10,"6",1,0.43243242074507,12.3807558610181,10.48,9.985,3
9.9,0.54,0.45,2.3,0.071,16,40,0.9991,3.39,0.62,9.4,"5",1,0.39999999,8.73227137645949,9.36,9.39154,3
9.7,0.295,0.4,1.5,0.073,14,21,0.99556,3.14,0.51,10.9,"6",1,0.666666634920636,6.9862056684155,9.405,10.851604,4
5,1.02,0.04,1.4,0.045,41,85,0.9938,3.75,0.48,10.5,"4",1,0.48235293550173,10.666429634897,3.98,10.4349,4
11.4,0.625,0.66,6.2,0.088,6,24,0.9988,3.11,0.99,13.3,"6",1,0.249999989583334,11.2498721605436,10.775,13.28404,5
11.3,0.37,0.41,2.3,0.088,6,16,0.9988,3.09,0.8,9.3,"5",1,0.374999976562501,9.09080578629788,10.93,9.28884,3
12,0.38,0.56,2.1,0.093,6,24,0.99925,3.14,0.71,10.9,"6",1,0.249999989583334,7.63432651261814,11.62,10.891825,3
9.8,0.44,0.47,2.5,0.063,9,28,0.9981,3.24,0.65,10.8,"6",1,0.32142855994898,10.3172965508484,9.36,10.77948,3
6.9,0.74,0.03,2.3,0.054,7,16,0.99508,3.45,0.63,11.5,"6",1,0.437499972656252,11.6664506212848,6.16,11.44342,3
10.8,0.26,0.45,3.3,0.06,20,49,0.9972,3.13,0.54,9.6,"5",1,0.40816325697626,8.99985000249996,10.54,9.57312,3
9.9,0.5,0.24,2.3,0.103,6,14,0.9978,3.34,0.52,10,"4",1,0.428571397959186,5.04849467480898,9.4,9.978,3
10.1,0.31,0.35,1.6,0.075,9,28,0.99672,3.24,0.83,11.2,"7",1,0.32142855994898,11.0665191130785,9.79,11.163264,3
6.6,0.61,0.01,1.9,0.08,8,25,0.99746,3.69,0.73,10.5,"5",1,0.3199999872,9.12488593892576,5.99,10.47333,3
11.5,0.18,0.51,4,0.104,4,23,0.9996,3.28,0.97,10.1,"6",1,0.173913035916825,9.32683339583273,11.32,10.09596,4
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,"6",1,0.57894736232687,3.59811402750454,9.66,9.03321,5
13.2,0.46,0.52,2.2,0.071,12,35,1.0006,3.1,0.56,9,"6",1,0.342857133061225,7.88721285615696,12.74,9.0054,3
10.2,0.36,0.64,2.9,0.122,10,41,0.998,3.23,0.66,12.5,"6",1,0.24390243307555,5.40979172301866,9.84,12.475,5
10,0.69,0.11,1.4,0.084,8,24,0.99578,2.88,0.47,9.7,"5",1,0.333333319444445,5.59517148605374,9.31,9.659066,4
10.5,0.26,0.47,1.9,0.078,6,24,0.9976,3.18,1.04,10.9,"7",1,0.249999989583334,13.3331623953539,10.24,10.87384,4
8.6,0.83,0,2.8,0.095,17,43,0.99822,3.33,0.6,10.4,"6",1,0.395348828015144,6.31572299238955,7.77,10.381488,3
9.9,0.35,0.41,2.3,0.083,11,61,0.9982,3.21,0.5,9.5,"5",1,0.180327865896265,6.02402380694208,9.55,9.4829,3
7,0.57,0.02,2,0.072,17,26,0.99575,3.36,0.61,10.2,"5",1,0.653846128698226,8.47210455410342,6.43,10.15665,3
12.3,0.39,0.63,2.3,0.091,6,18,1.0004,3.16,0.49,9.5,"5",1,0.333333314814816,5.38455621366798,11.91,9.5038,4
5.1,0.585,0,1.7,0.044,14,86,0.99264,3.56,0.94,12.9,"7",1,0.162790695781504,21.363150837481,4.515,12.805056,4
6.3,0.68,0.01,3.7,0.103,32,54,0.99586,3.51,0.66,11.3,"6",1,0.592592581618656,6.40770477956525,5.62,11.253218,4
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,"5",1,0.576923054733729,7.89459834037999,5.5,9.44756,3
10,0.48,0.24,2.7,0.102,13,32,1,3.28,0.56,10,"6",1,0.406249987304688,5.49014225350732,9.52,10,3
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,"6",1,0.327586201248514,7.08851786686245,9.44,10.09091,3
7,0.745,0.12,1.8,0.114,15,64,0.99588,3.22,0.59,9.5,"6",1,0.234374996337891,5.17539319830528,6.255,9.46086,3
10.4,0.33,0.63,2.8,0.084,5,22,0.9998,3.26,0.74,11.2,"7",1,0.227272716942149,8.80941893548886,10.07,11.19776,4
10.6,0.28,0.39,15.5,0.069,6,23,1.0026,3.12,0.66,9.2,"5",1,0.260869553875237,9.56507876697439,10.32,9.22392,3
10.6,0.5,0.45,2.6,0.119,34,68,0.99708,3.23,0.72,10.9,"6",1,0.499999992647059,6.05036932462752,10.1,10.868172,4
6.6,0.5,0,1.8,0.062,21,28,0.99352,3.44,0.55,12.3,"6",1,0.749999973214287,8.87082466411832,6.1,12.220296,3
7.9,0.3,0.68,8.3,0.05,37.5,289,0.99316,3.01,0.51,12.3,"7",1,0.129757785018139,10.1997960040799,7.6,12.215868,3
11.2,0.4,0.5,2,0.099,19,50,0.99783,3.1,0.58,10.4,"5",1,0.3799999924,5.85852668154867,10.8,10.377432,3
6.6,0.815,0.02,2.7,0.072,17,34,0.9955,3.58,0.89,12.3,"7",1,0.499999985294118,12.3609394313968,5.785,12.24465,4
11.1,0.31,0.53,2.2,0.06,3,10,0.99572,3.02,0.83,10.9,"7",1,0.299999970000003,13.8331027816203,10.79,10.853348,3
8.7,0.69,0,3.2,0.084,13,33,0.9992,3.36,0.45,9.4,"5",1,0.393939382001837,5.35707908239188,8.01,9.39248,3
6.6,0.695,0,2.1,0.075,12,56,0.9968,3.49,0.67,9.2,"5",1,0.214285710459184,8.93321422381035,5.905,9.17056,3
13.2,0.38,0.55,2.7,0.081,5,16,1.0006,2.98,0.54,9.4,"5",1,0.312499980468751,6.66658436315601,12.82,9.40564,3
10.2,0.54,0.37,15.4,0.214,55,95,1.00369,3.18,0.77,9,"6",1,0.57894736232687,3.59811402750454,9.66,9.03321,5
11.6,0.42,0.53,3.3,0.105,33,98,1.001,3.2,0.95,9.2,"5",1,0.336734690441483,9.04753288063923,11.18,9.2092,4
10,0.29,0.4,2.9,0.098,10,26,1.0006,3.48,0.91,9.7,"5",1,0.384615369822486,9.28561953449455,9.71,9.70582,4
10.2,0.29,0.65,2.4,0.075,6,17,0.99565,3.22,0.63,11.8,"6",1,0.352941155709344,8.39988800149331,9.91,11.74867,4
7.7,0.715,0.01,2.1,0.064,31,43,0.99371,3.41,0.57,11.8,"6",1,0.720930215792321,8.90611084201809,6.985,11.725778,4
7.6,0.95,0.03,2,0.09,7,20,0.9959,3.2,0.56,9.6,"5",1,0.349999982500001,6.22215308718792,6.65,9.56064,3
11.1,0.44,0.42,2.2,0.064,14,19,0.99758,3.25,0.57,10.4,"6",1,0.736842066481996,8.90611084201809,10.66,10.374832,4
10.4,0.34,0.58,3.7,0.174,6,16,0.997,3.19,0.7,11.3,"6",1,0.374999976562501,4.02296538525641,10.06,11.2661,4
10,0.73,0.43,2.3,0.059,15,31,0.9966,3.15,0.57,11,"5",1,0.483870952133195,9.66085320587787,9.27,10.9626,4
12.9,0.5,0.55,2.8,0.072,7,24,1.00012,3.09,0.68,10.9,"6",1,0.291666654513889,9.44431327342676,12.4,10.901308,3
12.5,0.6,0.49,4.3,0.1,5,14,1.001,3.25,0.74,11.9,"6",1,0.357142831632655,7.39992600073999,11.9,11.9119,3
13,0.32,0.65,2.6,0.093,15,47,0.9996,3.05,0.61,10.6,"5",1,0.31914892937981,6.55906925731981,12.68,10.59576,4
10.2,0.44,0.88,6.2,0.049,20,124,0.9968,2.99,0.51,9.9,"4",0,0.161290321279917,10.4079508581458,9.76,9.86832,3
9.2,0.755,0.18,2.2,0.148,10,103,0.9969,2.87,1.36,10.2,"6",1,0.0970873776981808,9.18912710049256,8.445,10.16838,4
7.9,0.3,0.68,8.3,0.05,37.5,278,0.99316,3.01,0.51,12.3,"7",1,0.134892085845712,10.1997960040799,7.6,12.215868,3
7.5,0.64,0,2.4,0.077,18,29,0.9965,3.32,0.6,10,"6",1,0.620689633769323,7.79210659601823,6.86,9.965,3
11.9,0.38,0.51,2,0.121,7,20,0.9996,3.24,0.76,10.4,"6",1,0.349999982500001,6.28093982694358,11.52,10.39584,4
6.7,0.67,0.02,1.9,0.061,26,42,0.99489,3.39,0.82,10.9,"6",1,0.61904760430839,13.4424025835642,6.03,10.844301,3
6.9,0.63,0.33,6.7,0.235,66,115,0.99787,3.22,0.56,9.5,"5",1,0.573913038487713,2.38296858311241,6.27,9.479765,3
7.1,0.75,0.01,2.2,0.059,11,18,0.99242,3.39,0.4,12.8,"6",1,0.611111077160496,6.77954610938798,6.35,12.702976,4
10.2,0.67,0.39,1.9,0.054,6,17,0.9976,3.17,0.47,10,"5",1,0.352941155709344,8.70354252699024,9.53,9.976,3
11.2,0.66,0.24,2.5,0.085,16,53,0.9993,3.06,0.72,11,"6",1,0.301886786756853,8.47048858248726,10.54,10.9923,3
9.2,0.52,1,3.4,0.61,32,69,0.9996,2.74,2,9.4,"4",1,0.463768109220752,3.27868314969975,8.68,9.39624,5
9.9,0.63,0.24,2.4,0.077,6,33,0.9974,3.09,0.57,9.4,"5",1,0.18181817630854,7.40250126621732,9.27,9.37556,3
6.5,0.46,0.14,2.4,0.114,9,37,0.99732,3.66,0.65,9.8,"5",1,0.243243236669102,5.70170437101429,6.04,9.773736,3
11.5,0.42,0.48,2.6,0.077,8,20,0.99852,3.09,0.53,11,"5",1,0.399999980000001,6.88302749314944,11.08,10.98372,3
7.5,0.58,0.56,3.1,0.153,5,14,0.99476,3.21,1.03,11.6,"6",1,0.357142831632655,6.73198214390756,6.92,11.539216,3
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,"6",1,0.214285706632653,7.14277865078406,11.125,10.0036346666666,3
10.5,0.42,0.66,2.95,0.116,12,29,0.997,3.24,0.75,11.7,"7",1,0.413793089179549,6.4654615046422,10.08,11.6649,5
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,"5",1,0.323529402249135,7.36832410099867,6.7,9.37932,3
6.7,0.855,0.02,1.9,0.064,29,38,0.99472,3.3,0.56,10.75,"6",1,0.76315787465374,8.7498632833862,5.845,10.69324,4
10.4,0.41,0.55,3.2,0.076,22,54,0.9996,3.15,0.89,9.9,"6",1,0.407407399862826,11.7103722319443,9.99,9.89604,4
10,0.42,0.5,3.4,0.107,7,21,0.9979,3.26,0.93,11.8,"6",1,0.333333317460318,8.69150755600415,9.58,11.77522,5
7,0.685,0,1.9,0.067,40,63,0.9979,3.6,0.81,9.9,"5",1,0.63492062484253,12.0893718004209,6.315,9.87921,4
11.5,0.3,0.6,2,0.067,12,27,0.9981,3.11,0.97,10.1,"6",1,0.44444442798354,14.4773958597633,11.2,10.08081,4
11.5,0.59,0.59,2.6,0.087,13,49,0.9988,3.18,0.65,11,"6",1,0.265306117034569,7.47117849220124,10.91,10.9868,3
7.2,0.695,0.13,2,0.076,12,20,0.99546,3.29,0.54,10.1,"5",1,0.599999970000001,7.10516966882015,6.505,10.054146,3
6.9,0.54,0.04,3,0.077,7,27,0.9987,3.69,0.91,9.4,"6",1,0.259259249657065,11.8180283372943,6.36,9.38778,3
8.8,0.685,0.26,1.6,0.088,16,23,0.99694,3.32,0.47,9.4,"5",1,0.695652143667298,5.34084839945001,8.115,9.371236,3
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,"6",1,0.71428568027211,6.59333413918528,6.31,11.251636,3
10,0.23,0.27,14.1,0.033,45,166,0.9988,2.72,0.43,9.7,"6",0,0.271084335716359,13.0299081846005,9.77,9.68836,3
10.2,0.49,0.63,2.9,0.072,10,26,0.9968,3.16,0.78,12.5,"7",1,0.384615369822486,10.8331828724601,9.71,12.46,4
10.7,0.43,0.39,2.2,0.106,8,32,0.9986,2.89,0.5,9.6,"5",1,0.2499999921875,4.71693663267328,10.27,9.58656,4
6.4,0.79,0.04,2.2,0.061,11,17,0.99588,3.53,0.65,10.4,"6",1,0.64705878546713,10.655563023557,5.61,10.357152,3
4.2,0.17,0.36,1.8,0.029,93,161,0.98999,3.65,0.89,12,"7",0,0.57763974796497,30.6885969449329,4.03,11.87988,7
9.1,0.795,0,2.6,0.096,11,26,0.9994,3.35,0.83,9.4,"6",1,0.423076906804734,8.64574327350757,8.305,9.39436,3
10.3,0.5,0.42,2,0.069,21,51,0.9982,3.16,0.72,11.5,"6",1,0.411764697808535,10.4346313821539,9.8,11.4793,3
7.5,0.755,0,1.9,0.084,6,12,0.99672,3.34,0.49,9.7,"4",1,0.499999958333337,5.8332638897156,6.745,9.668184,3
11.9,0.37,0.69,2.3,0.078,12,24,0.9958,3,0.65,12.8,"6",1,0.499999979166667,8.33322649709619,11.53,12.74624,4
6.6,0.84,0.03,2.3,0.059,32,48,0.9952,3.52,0.56,12.3,"7",1,0.666666652777778,9.49136455314317,5.76,12.24096,4
5.7,0.6,0,1.4,0.063,11,18,0.99191,3.45,0.56,12.2,"6",1,0.611111077160496,8.888747797654,5.1,12.101302,3
9.7,0.32,0.54,2.5,0.094,28,83,0.9984,3.28,0.82,9.6,"5",1,0.337349393525911,8.72331145413347,9.38,9.58464,3
8.3,0.76,0.29,4.2,0.075,12,16,0.9965,3.45,0.68,11.5,"6",1,0.749999953125003,9.06654577938961,7.54,11.45975,3
10.8,0.45,0.33,2.5,0.099,20,38,0.99818,3.24,0.71,10.8,"5",1,0.526315775623269,7.1716447308613,10.35,10.780344,3
10.6,0.36,0.57,2.3,0.087,6,20,0.99676,3.14,0.72,11.1,"7",1,0.299999985000001,8.27576694520753,10.24,11.064036,3
6.4,0.36,0.53,2.2,0.23,19,35,0.9934,3.37,0.93,12.4,"6",1,0.542857127346939,4.04346068060574,6.04,12.31816,3
10,0.46,0.44,2.9,0.065,4,8,0.99674,3.33,0.62,12.2,"6",1,0.499999937500008,9.538314795157,9.54,12.160228,3
8.7,0.78,0.51,1.7,0.415,12,66,0.99623,3,1.17,9.2,"5",1,0.181818179063361,2.81927031501129,7.92,9.165316,4
10.9,0.32,0.52,1.8,0.132,17,44,0.99734,3.28,0.77,11.5,"6",1,0.386363627582645,5.83328914174893,10.58,11.46941,4
10.4,0.44,0.73,6.55,0.074,38,76,0.999,3.17,0.85,12,"7",1,0.499999993421053,11.4863312657937,9.96,11.988,4
10.3,0.44,0.5,4.5,0.107,5,13,0.998,3.28,0.83,11.5,"5",1,0.384615355029588,7.75693685105747,9.86,11.477,4
9.9,0.72,0.55,1.7,0.136,24,52,0.99752,3.35,0.94,10,"5",1,0.461538452662722,6.91171388445673,9.18,9.9752,6
10.2,0.44,0.42,2,0.071,7,20,0.99566,3.14,0.79,11.1,"7",1,0.349999982500001,11.12660385065,9.76,11.051826,3
13.5,0.53,0.79,4.8,0.12,23,77,1.0018,3.18,0.77,13,"5",1,0.298701294822061,6.41661319489004,12.97,13.0234,5
10.4,0.52,0.45,2,0.08,6,13,0.99774,3.22,0.76,11.4,"6",1,0.461538426035506,9.49988125148436,9.88,11.374236,3
9.8,0.51,0.19,3.2,0.081,8,30,0.9984,3.23,0.58,10.5,"6",1,0.266666657777778,7.16040542709349,9.29,10.4832,3
8.9,0.61,0.49,2,0.27,23,110,0.9972,3.12,1.02,9.3,"5",1,0.209090907190083,3.77776378606005,8.29,9.27396,3
7.2,0.73,0.02,2.5,0.076,16,42,0.9972,3.44,0.52,9.3,"5",1,0.380952371882086,6.84201523664162,6.47,9.27396,3
6.3,0.47,0,1.4,0.055,27,33,0.9922,3.45,0.48,12.3,"6",1,0.81818179338843,8.72711405247177,5.83,12.20406,3
11.7,0.28,0.47,1.7,0.054,17,32,0.99686,3.15,0.67,10.6,"7",1,0.531249983398438,12.4071776448584,11.42,10.566716,3
9.7,0.69,0.32,2.5,0.088,22,91,0.9979,3.29,0.62,10.1,"5",1,0.241758239101558,7.04537448438086,9.01,10.07879,3
8.4,0.62,0.12,1.8,0.072,38,46,0.99504,3.38,0.89,11.8,"6",1,0.826086938563327,12.3609394313968,7.78,11.741472,3
7,0.69,0.07,2.5,0.091,15,21,0.99572,3.38,0.6,11.3,"6",1,0.71428568027211,6.59333413918528,6.31,11.251636,3
8.7,0.7,0.24,2.5,0.226,5,15,0.9991,3.32,0.6,9,"6",1,0.333333311111113,2.6548555094889,8,8.9919,3
8.6,0.49,0.28,1.9,0.11,20,136,0.9972,2.93,1.95,9.9,"6",1,0.147058822448097,17.727111571713,8.11,9.87228,3
6.6,0.66,0,3,0.115,21,31,0.99629,3.45,0.63,10.3,"5",1,0.677419332986473,5.47821323292841,5.94,10.261787,4
11.3,0.62,0.67,5.2,0.086,6,19,0.9988,3.22,0.69,13.4,"8",1,0.315789457063713,8.02316252136603,10.68,13.38392,4
6,0.5,0,1.4,0.057,15,26,0.99448,3.36,0.45,9.5,"5",1,0.576923054733729,7.89459834037999,5.5,9.44756,3
11.6,0.58,0.66,2.2,0.074,10,47,1.0008,3.25,0.57,9,"3",1,0.212765952919873,7.70259861353225,11.02,9.0072,4
5.6,0.66,0,2.2,0.087,3,11,0.99378,3.71,0.63,12.8,"7",1,0.272727247933887,7.24129607705659,4.94,12.720384,3
5.8,0.68,0.02,1.8,0.087,21,94,0.9944,3.54,0.52,10,"5",1,0.223404252942508,5.97694279376099,5.12,9.944,3
10.8,0.5,0.46,2.5,0.073,5,27,1.0001,3.05,0.64,9.5,"5",1,0.185185178326475,8.7670031917371,10.3,9.50095,3
11.3,0.37,0.5,1.8,0.09,20,47,0.99734,3.15,0.57,10.5,"5",1,0.425531905839747,6.33326296374485,10.93,10.47207,3
6.8,0.69,0,5.6,0.124,21,58,0.9997,3.46,0.72,10.2,"5",1,0.362068959274673,5.80640478705817,6.11,10.19694,4
11.6,0.475,0.4,1.4,0.091,6,28,0.99704,3.07,0.65,10.0333333333333,"6",1,0.214285706632653,7.14277865078406,11.125,10.0036346666666,3
10,0.58,0.22,1.9,0.08,9,32,0.9974,3.13,0.55,9.5,"5",1,0.281249991210938,6.87491406357421,9.42,9.4753,3
7,0.69,0,1.9,0.114,3,10,0.99636,3.35,0.6,9.7,"6",1,0.299999970000003,5.26311172709011,6.31,9.664692,4
6.4,0.885,0,2.3,0.166,6,12,0.99551,3.56,0.51,10.8,"5",1,0.499999958333337,3.07227064897199,5.515,10.751508,4
7.7,0.58,0.01,1.8,0.088,12,18,0.99568,3.32,0.56,10.5,"7",1,0.666666629629632,6.36356405040852,7.12,10.45464,3
12.8,0.615,0.66,5.8,0.083,7,42,1.0022,3.07,0.73,10,"7",1,0.166666662698413,8.79507475813544,12.185,10.022,4
6.4,0.57,0.12,2.3,0.12,25,36,0.99519,3.47,0.71,11.3,"7",1,0.694444425154322,5.91661736152199,5.83,11.245647,3
6.7,0.76,0.02,1.8,0.078,6,12,0.996,3.55,0.63,9.95,"3",1,0.499999958333337,8.07681952795477,5.94,9.9102,3
10.7,0.67,0.22,2.7,0.107,17,34,1.0004,3.28,0.98,9.9,"6",1,0.499999985294118,9.15879290847749,10.03,9.90396,5
7.4,0.7,0,1.9,0.076,11,34,0.9978,3.51,0.56,9.4,"5",1,0.323529402249135,7.36832410099867,6.7,9.37932,3
6.4,0.795,0,2.2,0.065,28,52,0.99378,3.49,0.52,11.6,"5",1,0.538461528106509,7.99987692497039,5.605,11.527848,3
10.3,0.27,0.56,1.4,0.047,3,8,0.99471,3.16,0.51,11.8,"6",1,0.374999953125006,10.8508329610008,10.03,11.737578,3
7.8,0.88,0,2.6,0.098,25,67,0.9968,3.2,0.68,9.8,"5",1,0.37313432278904,6.93870470709483,6.92,9.76864,3
10.3,0.34,0.52,2.8,0.159,15,75,0.9998,3.18,0.64,9.4,"5",1,0.199999997333333,4.02513191740932,9.96,9.39812,4
12.5,0.28,0.54,2.3,0.082,12,29,0.9997,3.11,1.36,9.8,"7",1,0.413793089179549,16.5851635955659,12.22,9.79706,4
7,0.805,0,2.5,0.068,7,20,0.9969,3.48,0.56,9.6,"5",1,0.349999982500001,8.23517301216159,6.195,9.57024,3
6.9,0.765,0.18,2.4,0.243,5.5,48,0.99612,3.4,0.6,10.3,"6",1,0.114583330946181,2.46912564145827,6.135,10.260036,3
15.6,0.645,0.49,4.2,0.095,10,23,1.00315,2.92,0.74,11.1,"5",1,0.434782589792061,7.78939169061378,14.955,11.134965,3
7.1,0.755,0.15,1.8,0.107,20,84,0.99593,3.19,0.5,9.5,"5",1,0.238095235260771,4.67285352473341,6.345,9.461335,3
8.1,0.87,0,3.3,0.096,26,61,1.00025,3.6,0.72,9.8,"4",1,0.426229501209352,7.49992187581379,7.23,9.80245,3
10.6,1.025,0.43,2.8,0.08,21,84,0.9985,3.06,0.57,10.1,"5",1,0.24999999702381,7.12491093861327,9.575,10.08485,4
11.9,0.4,0.65,2.15,0.068,7,27,0.9988,3.06,0.68,11.3,"6",1,0.259259249657065,9.99985294333907,11.5,11.28644,4
7.9,0.4,0.29,1.8,0.157,1,44,0.9973,3.3,0.92,9.5,"6",1,0.0227272722107438,5.85983528767333,7.5,9.47435,3
6.3,0.76,0,2.9,0.072,26,52,0.99379,3.51,0.6,11.5,"6",1,0.499999990384616,8.33321759420008,5.54,11.428585,3
7.9,0.32,0.51,1.8,0.341,17,56,0.9969,3.04,1.08,9.2,"6",1,0.30357142315051,3.16714613740136,7.58,9.17148,3
12.3,0.5,0.49,2.2,0.089,5,14,1.0002,3.19,0.44,9.6,"5",1,0.357142831632655,4.94376467680138,11.8,9.60192,3
7.5,0.23,0.35,17.8,0.058,128,212,1.00241,3.44,0.43,8.9,"5",0,0.603773582057672,7.41366528163308,7.27,8.921449,3
10.8,0.89,0.3,2.6,0.132,7,60,0.99786,2.99,1.18,10.2,"5",1,0.116666664722222,8.93932621722563,9.91,10.178172,6
10,0.56,0.24,2.2,0.079,19,58,0.9991,3.18,0.56,10.1,"6",1,0.327586201248514,7.08851786686245,9.44,10.09091,3
7.8,0.43,0.7,1.9,0.464,22,67,0.9974,3.13,1.28,9.4,"5",1,0.328358204054355,2.75861474436478,7.37,9.37556,4
11.1,0.31,0.49,2.7,0.094,16,47,0.9986,3.12,1.02,10.6,"7",1,0.340425524671797,10.850948394166,10.79,10.58516,4
10,0.32,0.59,2.2,0.077,3,15,0.9994,3.2,0.78,9.6,"5",1,0.199999986666668,10.1297385748237,9.68,9.59424,3
